Fertilizer Recommendation for various crops,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROP AND/OR VARIETY,,NITROGEN,,,,PHOSPHORUS,,,,POTASSIUM,,,
VEGETABLES,,LOW,MEDIUM,HIGH,,LOW,MEDIUM,HIGH,,LOW,MEDIUM,HIGH,
AMPALAYA/UPO,,90,50,40,,80,50,20,,60,45,30,
BATAO,,45,40,35,,60,35,20,,60,45,30,
BEANS:,,,,,,,,,,,,,
String beans,,50,40,35,,90,45,20,,50,40,30,
Baguio,,45,40,35,,60,35,20,,60,45,30,
Lima(Patani),,45,40,35,,60,35,20,,60,45,30,
Winged(Segiduillas),,,,,,,,,,,,,
Dwarf variety,,40,30,20,,40,25,10,,45,30,30,
Tree type,,60,40,30,,30,20,10,,45,30,20,
CHAYOTE,,60,50,40,,80,50,20,,60,45,30,
CUCUMBER,,100,80,60,,100,60,30,,60,45,30,
PARSNIP,,90,60,45,,60,35,20,,60,45,30,
PATANI,,45,40,65,,60,35,20,,60,45,30,
PATOLA,,90,60,30,,80,50,20,,60,45,30,
PEAS,,20,10,7,,40,35,10,,43,30,20,
CARROT,,90,80,70,,90,60,30,,125,75,30,
,,,,,,,,,,,,,
GARLIC/ONION,,90,60,30,,80,50,20,,50,30,20,
GINGER,,,,,,,,,,,,,
Local,,40,30,20,,60,35,20,,120,75,30,
improved,,80,70,60,,60,35,20,,120,75,30,
POTATO,,80,70,60,,60,35,20,,90,60,30,
RADISH/TURNIPS,,90,80,70,,90,60,30,,120,75,30,
ASPARAGUS,,90,60,45,,40,25,10,,60,45,30,
BROCCOLI,,60,50,40,,60,35,20,,60,45,30,
CABBAGE,,,,,,,,,,,,,
Local,,150,140,120,,60,35,20,,75,60,30,
Chinese,,150,140,120,,60,35,20,,75,60,30,
CAULIFLOWER/              ,,150,140,120,,60,35,20,,60,45,30,
CABBAGE(HEAD) ,,,,,,,,,,,,,
LETTUCE(HEAD),,,,,,,,,,,,,
MUSTARD,,150,140,120,,60,35,20,,75,60,30,
PECHAY,,150,140,120,,60,35,20,,75,60,30,
CELERY,,60,50,40,,90,50,20,,60,45,30,
,,,,,,,,,,,,,
FRUIT VEGETABLES,,,,,,,,,,,,,
CHILI,,,,,,,,,,,,,
Bell Pepper,,90,80,70,,80,50,20,,150,75,30,
Green(sinigang),,120,90,60,,80,50,20,,150,120,60,
Pepper,,90,60,30,,80,50,20,,150,120,60,
Black Pepper,,0.04,0.02,0.01,,0.04,0.03,0.01,,0.03,0.02,0.01,
EGGPLANT,,90,80,70,,80,50,20,,90,60,30,
OKRA,,,,,,,,,,,,,
Local,,90,80,80,,80,50,20,,90,60,30,
Hybrid,,120,100,70,,80,50,20,,90,60,30,
TOMATOES,,90,80,70,,120,75,30,,90,60,30,
SQUASH,,90,50,40,,80,50,30,,60,45,30,
,,,,,,,,,,,,,
CONDIMENTS,,,,,,,,,,,,,
Basil,,0.001,0.001,0.001,,0.001,0.001,0.001,,0.001,0.001,0.001,
Mint herb,,80,40,20,,80,80,40,,20,10,7,
,,,,,,,,,,,,,
RICE,,,,,,,,,,,,,
HYBRID LIGHT SOILS,,,,,,,,,,,,,
Wet Season,,120,90,60,,70,50,30,,70,50,30,
Dry Season,,140,110,80,,70,50,30,,70,50,30,
HYBRID MED-HEAVY SOILS,,,,,,,,,,,,,
Wet Season,,110,80,50,,70,50,30,,70,50,30,
Dry Season,,120,90,60,,70,50,30,,70,50,30,
UPLAND,,,,,,,,,,,,,
Light Soils,,45,40,30,,60,40,30,,60,45,30,
Med-Heavy Soils,,45,40,30,,60,40,30,,60,45,30,
,,,,,,,,,,,,,
INBRED LIGHT SOILS,,,,,,,,,,,,,
Wet Season,,100,70,40,,60,40,20,,60,40,20,
Dry Season,,120,90,60,,60,40,20,,60,40,20,
INBRED MED-HEAVY SOILS,,,,,,,,,,,,,
Wet Season,,90,60,30,,60,40,20,,60,40,20,
Dry Season,,100,70,40,,60,40,20,,60,40,20,
,,,,,,,,,,,,,
CORN,,,,,,,,,,,,,
HYBRID,,,,,,,,,,,,,
Yellow,,135,90,60,,90,40,20,,90,45,30,
White,,135,90,60,,60,40,20,,60,45,30,
OPV (HIGH YIELDING VARIETY,,,,,,,,,,,,,
White,,90,50,20,,60,40,20,,60,45,30,
