,,"SOIL ANALYSIS RESULTS DATA FROM MAJAYJAY, LAGUNA",,,,,,,,,
,Address,Crop,pH,Nitrogen(N),Phosphorus(P),Potassium(K),Fertilizer recommendation (bags/ha),,,,
,,,,,,,(14-14-14),(0-18-0),(0-0-60),(16-20-0),(46-0-0)
,Brgy. Amonoy,Mustasa/Pechay,6,L,L,H,4.25,3.25,,,5.25
,Brgy. Balayong,Eggplant,6,L,L,H,4.25,5.5,,,2.75
,Brgy. Dobi,Okra,6,L,L,H,4.25,5.5,,,2.75
,Brgy. Banga,Rice(WS),5.8,L,L,M,3,4.5,0.75,,3
,Brgy. Bukal,Rice(DS),5.8,L,L,M,3,4.5,0.75,,3.75
,Brgy. Gagalot ,Eggplant,5.8,L,M,M,6.43,1.5,0.5,,2
,Brgy. Malinao,Eggplant,5.8,L,L,M,6.43,3.5,0.5,,2
,Brgy. Gagalot ,Chayote,5.8,L,L,M,,4,1.5,4.6,1.25
,Brgy. Burgos,Broccoli,5.8,L,L,L,8.6,,,,4
,Brgy. San Francisco,Brocolli,6.2,L,M,M,,2,1.3,4.6,2.6
,Brgy. Munting Kawayan,Rice(WS),5.8,L,L,L,4.25,3.5,1,,2.75
,Brgy. Piit,Rice(DS),5.8,L,L,L,4.25,3.5,1,,3.5
,Brgy. Taytay,Rice(WS),5.8,L,M,L,4.25,1.25,1,,2.75
,Brgy. Olla,Rice(DS),5.8,L,M,L,4.25,1.25,1,,3.5
,Brgy. Coralao,String Beans,7.2,L,L,L,7.25,4.5,,,
,Brgy. San Roque,Bitter Gourd,6,L,H,L,6,,1,,2.5
,Brgy. Suba,Bitter Gourd,5.8,L,H,L,6,,1,,2.5
,Brgy. Pangil,String Beans,6.8,L,M,L,6.5,,0.25,,0.25
